frame_id,timestamp,left_pwm,right_pwm,arm_angle,source,decision_id
1301,2025-12-16 10:03:20.719511,150,150,90,mrt_decisions_to_actions,1
1302,2025-12-16 10:03:20.819511,150,150,90,mrt_decisions_to_actions,1
1303,2025-12-16 10:03:20.919511,150,150,90,mrt_decisions_to_actions,1
1304,2025-12-16 10:03:21.019511,150,150,90,mrt_decisions_to_actions,1
1305,2025-12-16 10:03:21.119511,150,150,90,mrt_decisions_to_actions,1
1306,2025-12-16 10:03:21.219511,150,150,90,mrt_decisions_to_actions,1
1307,2025-12-16 10:03:21.319511,150,150,90,mrt_decisions_to_actions,1
1308,2025-12-16 10:03:21.419511,150,150,90,mrt_decisions_to_actions,1
1309,2025-12-16 10:03:21.519511,150,150,90,mrt_decisions_to_actions,1
1310,2025-12-16 10:03:21.619511,150,150,90,mrt_decisions_to_actions,1
